Hospital,insurance_provider,total_billing,pct_of_hospital_revenue
Abbott Inc,Cigna,32114.21,100
Abbott LLC,Blue Cross,10724.79,51.08
Abbott LLC,Medicare,10269.93,48.92
Abbott PLC,Cigna,31786.83,100
"Abbott, Curry and Moore",Blue Cross,11869.28,100
Abbott-Jordan,Aetna,25326.81,100
Abbott-Phillips,Blue Cross,1848.52,100
Abbott-Shea,UnitedHealthcare,8632.35,100
Acevedo LLC,Cigna,16229.17,100
Acevedo and Sons,Aetna,40372.12,100
"Acevedo, Rojas and Smith",Aetna,24235.39,100
Acosta PLC,UnitedHealthcare,20768.16,100
Acosta and Sons,Blue Cross,14541,100
"Acosta, Saunders and Thompson",Cigna,22474.64,100
"Acosta, Thompson and Schultz",Blue Cross,25511.21,100
Acosta-Bailey,Aetna,44643.05,100
Acosta-Chandler,Aetna,39463.93,100
Acosta-Holmes,Aetna,40376.65,100
Adams Group,Aetna,30929.57,53.93
Adams Group,Medicare,18484.01,32.23
Adams Group,Cigna,7941.33,13.85
Adams Inc,Medicare,65045.16,63.59
Adams Inc,Aetna,37246.25,36.41
Adams Ltd,UnitedHealthcare,20882.08,100
Adams PLC,Medicare,36350.84,57.26
Adams PLC,UnitedHealthcare,27135.6,42.74
Adams and Sons,Medicare,67666.2,100
"Adams, Coleman and Ross",UnitedHealthcare,3937.71,100
"Adams, Fritz and Smith",UnitedHealthcare,19060.23,100
"Adams, Garcia and Dudley",Cigna,3552.86,100
"Adams, Hall and Robbins",Blue Cross,18566.44,100
"Adams, Ibarra and Phillips",Cigna,37736.47,100
"Adams, Martinez and Allen",Cigna,20062.54,100
"Adams, Miller and Li",UnitedHealthcare,13016.44,100
"Adams, Myers and Mcdaniel",Cigna,8176.79,100
"Adams, Parker and Summers",Blue Cross,47327.88,100
"Adams, Sanchez and Perez",UnitedHealthcare,36358.14,100
"Adams, Stewart and Williams",Blue Cross,20584.48,100
"Adams, Winters and Herrera",UnitedHealthcare,14757.8,100
Adams-Barrett,Aetna,29367.18,100
Adams-Casey,Aetna,9721.91,100
Adams-Graves,Aetna,10304.7,100
Adams-Munoz,Blue Cross,3856.79,100
Adams-Simpson,Blue Cross,22352.88,100
Adams-Thornton,Blue Cross,5356.26,100
Adkins Inc,UnitedHealthcare,18907.54,100
"Adkins, Bennett and Sparks",Cigna,19852.09,100
"Adkins, Larson and Collins",UnitedHealthcare,39882.65,100
"Adkins, Maxwell and Mcdonald",Blue Cross,30852.39,100
"Adkins, Morales and Maynard",Cigna,40930.34,100
"Adkins, Novak and Watkins",Cigna,43617.18,100
"Adkins, Porter and Smith",UnitedHealthcare,13618.07,100
"Adkins, Smith and Garcia",Aetna,32553.87,100
"Adkins, Wu and Hamilton",Cigna,37345.42,100
Adkins-Lopez,Medicare,48329.15,100
Adkins-Merritt,Aetna,19755.83,100
Adkins-Shepard,Cigna,27593.33,100
Adkins-Zhang,Blue Cross,23415.35,100
Aguilar Inc,Blue Cross,15449.02,100
Aguilar LLC,Medicare,1663.05,100
Aguilar and Sons,Blue Cross,70695.89,40.77
Aguilar and Sons,Aetna,63669.8,36.72
Aguilar and Sons,UnitedHealthcare,39019.49,22.5
"Aguilar, Ashley and Powers",UnitedHealthcare,3710.7,100
"Aguilar, Ayers and Lynn",UnitedHealthcare,21661.63,100
"Aguilar, Beltran and King",Cigna,45004.49,100
"Aguilar, Buckley and King",Aetna,27626.18,100
"Aguilar, Hansen and Owen",Medicare,7060.34,100
"Aguilar, Hubbard and Glenn",Medicare,1082.44,100
"Aguilar, Johnson and Wade",Aetna,13511.72,100
"Aguilar, Joyce and Rivas",Aetna,21807,100
"Aguilar, Moore and Thomas",Blue Cross,16735.6,100
"Aguilar, Williams and Jones",Cigna,40304.12,100
Aguilar-Bell,Aetna,21378.16,100
Aguilar-Lambert,Cigna,46133.54,100
Aguilar-Lawson,UnitedHealthcare,33608.97,100
Aguilar-Lewis,UnitedHealthcare,10716.57,100
Aguilar-Obrien,Cigna,36744.04,100
Aguilar-Smith,Cigna,19404.2,100
Aguirre Inc,Cigna,32166.61,100
Aguirre LLC,Aetna,25948.51,100
Aguirre Ltd,UnitedHealthcare,4936.91,100
"Aguirre, Ramirez and Chang",Aetna,12395.47,100
Alexander Inc,UnitedHealthcare,36044.47,100
Alexander Ltd,Blue Cross,41469.03,100
Alexander PLC,Cigna,43234.33,65.36
Alexander PLC,Blue Cross,22908.64,34.64
"Alexander, Alvarado and Moore",Aetna,12262.22,100
"Alexander, Ashley and Jackson",Blue Cross,46442.47,100
"Alexander, Coleman and Stevenson",Cigna,3830.44,100
"Alexander, Hall and Gould",Blue Cross,39433.9,100
"Alexander, Hill and Stout",Medicare,36653.52,100
"Alexander, Ibarra and Mays",UnitedHealthcare,14104.91,100
Alexander-Evans,Blue Cross,2519.91,100
Alexander-Mueller,Blue Cross,14289.06,100
Alexander-Tran,UnitedHealthcare,41009.65,100
Ali Inc,Cigna,3123.6,100
Ali LLC,Aetna,20474.61,100
"Ali, Everett and Welch",Cigna,43043.99,100
